,value,date,time
0,00.00,2022/2/17,上午 04:32:21
1,10.99,2022/2/17,上午 04:32:27
2,10.99,2022/2/17,上午 04:32:40
3,11.00,2022/2/17,上午 04:32:44
4,11.00,2022/2/17,上午 04:32:49
5,10.98,2022/2/17,上午 04:32:53
6,10.99,2022/2/17,上午 04:32:59
7,11.00,2022/2/17,上午 04:33:07
8,11.00,2022/2/17,上午 04:33:15
9,11.00,2022/2/17,上午 04:33:38
10,11.00,2022/2/17,上午 04:33:57
11,10.98,2022/2/17,上午 04:34:02
12,10.99,2022/2/17,上午 04:34:08
13,10.99,2022/2/17,上午 04:34:27
14,10.99,2022/2/17,上午 04:34:42
15,10.99,2022/2/17,上午 04:35:02
16,10.99,2022/2/17,上午 04:35:14
17,10.98,2022/2/17,上午 04:35:27
18,11.00,2022/2/17,上午 04:35:39
19,10.99,2022/2/17,上午 04:35:45
20,10.99,2022/2/17,上午 04:35:54
21,10.98,2022/2/17,上午 04:36:01
22,10.98,2022/2/17,上午 04:36:09
23,10.99,2022/2/17,上午 04:36:23
24,10.98,2022/2/17,上午 04:36:30
25,11.00,2022/2/17,上午 04:36:48
26,11.00,2022/2/17,上午 04:36:59
27,10.99,2022/2/17,上午 04:37:11
28,10.98,2022/2/17,上午 04:37:21
29,11.00,2022/2/17,上午 04:37:28
30,11.00,2022/2/17,上午 04:37:41
